"","Company code","Report date","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1",1004,20110531,2010,69.826,-21.964,0.201838087909624,NA
"2",1004,20120531,2011,67.723,10.835,0.36058794354117,3179.62248995984
"3",1004,20130531,2012,55,6.40000000000001,0.331601853151762,NA
"4",1004,20140531,2013,72.9,13,0.288247328938395,NA
"5",1004,20150531,2014,10.2,-31.9,0.101650165016502,NA
"6",1004,20160531,2015,47.7,-23.2,0.102697455100201,NA
"7",1004,20170531,2016,56.5,-20.4,0.104580812445981,NA
"8",1013,20100930,2010,62,-18.2,0.441573414716853,0.862155720338983
"9",1045,20101231,2010,-471,15,0.443877551020408,2.20645928274222
"10",1045,20111231,2011,-1979,115,0.344682992284468,1.80619644034278
"11",1045,20131231,2013,-1834,660,0.397346137471025,1.81512695840086
"12",1045,20141231,2014,2882,-146,0.409037947499486,2.52774248199915
"13",1045,20151231,2015,7610,-604,0.424682433130228,3.13477664278091
"14",1045,20161231,2016,2676,-68,0.474782540858915,3.64704119850187
"15",1050,20101231,2010,2.105,4.399,0.144402401358452,NA
"16",1050,20111231,2011,8.272,6.932,0.120990610624488,NA
"17",1050,20121231,2012,10.85,10.27,0,NA
"18",1050,20131231,2013,6.557,-0.332999999999995,0.255589092661877,NA
"19",1050,20141231,2014,13.077,-3.299,0.271326004850796,NA
"20",1050,20151231,2015,-5.602,16.518,0.296129548327625,NA
"21",1050,20161231,2016,-38.218,13.342,0.264049382914121,NA
"22",1062,20101130,2010,95.887,NA,0,0
"23",1062,20111130,2011,-31.981,NA,0,0
"24",1062,20121130,2012,-152.257,NA,0,0
"25",1062,20131130,2013,-212.673,NA,0,0
"26",1062,20141130,2014,-27.775,NA,0,0
"27",1062,20151130,2015,-60.285,NA,0,0
"28",1062,20161130,2016,83.257,NA,0,0
"29",1072,20110331,2010,244.003,-37.244,0,0
"30",1072,20120331,2011,152.805,16.605,0,0
"31",1072,20130331,2012,-64.312,92.204,0,0
"32",1072,20140331,2013,127.037,-26.623,0,0
"33",1072,20150331,2014,225.871,-74.778,0,0
"34",1072,20160331,2015,101.535,71.796,0,0
"35",1072,20170331,2016,125.785,125.332,0,0
"36",1075,20101231,2010,350.053,-35.1899999999999,NA,NA
"37",1075,20111231,2011,339.473,-76.6049999999998,NA,NA
"38",1075,20121231,2012,381.542,-7.38100000000009,NA,NA
"39",1075,20131231,2013,406.074,-16.6759999999999,NA,NA
"40",1075,20141231,2014,397.595,-1.92200000000003,NA,NA
"41",1075,20151231,2015,437.257,31.884,NA,NA
"42",1075,20161231,2016,442.034,-30.6070000000001,NA,NA
"43",1076,20101231,2010,118.376,-37.663,0.0278215691391624,3.52687990547726
"44",1076,20111231,2011,113.767,104.235,0.0886315814953067,Inf
"45",1076,20121231,2012,173.043,-46.723,0.0780659363935377,Inf
"46",1076,20131231,2013,120.666,101.557,0.0781008507116994,Inf
"47",1076,20141231,2014,78.233,-227.542,0.246691283614263,Inf
"48",1076,20151231,2015,135.709,11.393,0.229589582060082,Inf
"49",1076,20161231,2016,139.283,293.492,0.190320812192056,Inf
"50",1078,20101231,2010,4626.172,-4540.075,0.245003898775065,42.1054537572254
"51",1078,20111231,2011,4728.449,3207.454,0.216778227106032,13.4569701338826
"52",1078,20121231,2012,5962.92,3949.206,0.273579836699202,48.2785433070866
"53",1078,20131231,2013,2576,-7301,0.0790864433217703,17.243654822335
"54",1078,20141231,2014,2284,731,0.083900666262871,9.28418230563003
"55",1078,20151231,2015,4423,1136,0.142410357116881,1.44147239263804
"56",1078,20161231,2016,1400,14102,0.392739148596818,6.98783783783784
"57",1082,20110430,2010,-2.319,0.202,0.230059478420009,5.95069033530572
"58",1094,20100630,2010,6.581,-24.049,0.00237221318864271,0.583864118895966
"59",1094,20110630,2011,8.968,-5.18800000000001,0.176461906213402,28.1027082268779
"60",1094,20120630,2012,16.981,-2.068,0.152917000801925,18.5283400809717
"61",1094,20130630,2013,22.328,7.974,0.099152830597038,10.6400132714001
"62",1094,20140630,2014,29,8.95600000000001,0.225437194433998,47.8462585034014
"63",1094,20150630,2015,33.483,-4.803,0.22491393989881,11.1146201190596
"64",1094,20160630,2016,34.766,32.792,0.219663151977336,16.2947873799726
"65",1094,20170630,2017,11.376,-11.649,0.340657975216363,42.5437266931312
"66",1104,20101231,2010,2.573,0.119,0.272725439180331,NA
