GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,at,ch,dt,ebit,fincf,ivncf,ni,oancf,tfva,costat
001004,20110531,2010,INDL,C,D,STD,USD,1703.7270,57.4330,343.877,137.0160,-11.8270,-118.7350,69.8260,108.5980,,A
001004,20120531,2011,INDL,C,D,STD,USD,2195.6530,67.7200,791.726,142.3600,306.8430,-390.2250,67.7230,94.2170,0.2490,A
001004,20130531,2012,INDL,C,D,STD,USD,2136.9000,75.3000,708.6,136.6000,-123.7000,-32.8000,55.0000,162.9000,,A
001004,20140531,2013,INDL,C,D,STD,USD,2199.5000,89.2000,634,142.6000,-85.9000,-40.9000,72.9000,139.8000,,A
001004,20150531,2014,INDL,C,D,STD,USD,1515.0000,54.7000,154,-8.6000,-678.1000,689.2000,10.2000,-43.0000,,A
001004,20160531,2015,INDL,C,D,STD,USD,1442.1000,31.2000,148.1,66.1000,-38.4000,-16.9000,47.7000,32.1000,,A
001004,20170531,2016,INDL,C,D,STD,USD,1504.1000,10.3000,157.3,77.2000,-12.1000,-30.1000,56.5000,21.8000,,A
001013,20100930,2010,INDL,C,D,STD,USD,1474.5000,518.1000,651.1,59.9000,-2.3000,-152.5000,62.0000,136.6000,755.2000,I
001045,20101231,2010,INDL,C,D,STD,USD,25088.0000,168.0000,11136,308.0000,804.0000,-2030.0000,-471.0000,1241.0000,5047.0000,A
001045,20111231,2011,INDL,C,D,STD,USD,23848.0000,283.0000,8220,-286.0000,727.0000,-1292.0000,-1979.0000,680.0000,4551.0000,A
001045,20131231,2013,INDL,C,D,STD,USD,42278.0000,1140.0000,16799,1935.0000,3799.0000,-3814.0000,-1834.0000,675.0000,9255.0000,A
001045,20141231,2014,INDL,C,D,STD,USD,43771.0000,994.0000,17904,5073.0000,-315.0000,-2911.0000,2882.0000,3080.0000,7083.0000,A
001045,20151231,2015,INDL,C,D,STD,USD,48415.0000,390.0000,20561,7284.0000,-1259.0000,-5594.0000,7610.0000,6249.0000,6559.0000,A
001045,20161231,2016,INDL,C,D,STD,USD,51274.0000,322.0000,24344,6007.0000,-894.0000,-5698.0000,2676.0000,6524.0000,6675.0000,A
001050,20101231,2010,INDL,C,D,STD,USD,74.7910,5.7920,10.8,4.6400,-3.0430,4.5040,2.1050,2.9380,,A
001050,20111231,2011,INDL,C,D,STD,USD,79.3450,12.7240,9.6,12.3680,-1.6070,-0.1990,8.2720,8.7380,,A
001050,20121231,2012,INDL,C,D,STD,USD,94.1040,22.9940,0,16.6830,-2.6680,-3.8910,10.8500,16.8290,,A
001050,20131231,2013,INDL,C,D,STD,USD,348.5360,22.6610,89.082,18.9960,81.0800,-105.5940,6.5570,24.1810,,A
001050,20141231,2014,INDL,C,D,STD,USD,414.3650,19.3620,112.428,24.3320,18.2500,-37.8120,13.0770,16.2630,,A
001050,20151231,2015,INDL,C,D,STD,USD,598.8190,34.1940,177.328,28.6510,38.9200,-35.0390,-5.6020,12.6370,,A
001050,20161231,2016,INDL,C,D,STD,USD,498.6340,45.8240,131.664,37.3160,-55.8380,-0.4190,-38.2180,69.5990,,A
